position,person,personID,start,end
member of the Sabah State Legislative Assembly,Masiung Banah,Q99751244,2020-09-26,
member of the Sabah State Legislative Assembly,Ellron Alfred Angin,Q99767377,2020-09-26,
member of the Sabah State Legislative Assembly,Ghulamhaidar Khan,Q99767634,2020-09-26,
member of the Sabah State Legislative Assembly,Mohd. Arifin Mohd. Arif,Q99767697,2020-09-26,
member of the Sabah State Legislative Assembly,Mohammad Mohamarin,Q99769019,2020-09-26,
member of the Sabah State Legislative Assembly,Ben Chong Chen Bin,Q99770252,2020-09-26,
member of the Sabah State Legislative Assembly,Ewon Benedick,Q99771328,2020-09-26,
member of the Sabah State Legislative Assembly,Azhar Matussin,Q99772561,2020-09-26,
member of the Sabah State Legislative Assembly,Phoong Jin Zhe,Q99836848,2020-09-26,
member of the Sabah State Legislative Assembly,Junz Wong,Q99838169,2020-09-26,
member of the Sabah State Legislative Assembly,Daud Yusof,Q99842381,2020-09-26,
member of the Sabah State Legislative Assembly,Yusof Yacob,Q99844667,2020-09-26,
member of the Sabah State Legislative Assembly,Hiew Vun Zin,Q99883947,2020-09-26,
member of the Sabah State Legislative Assembly,Arunarsin Taib,Q99883951,2020-09-26,
member of the Sabah State Legislative Assembly,Poon Ming Fung,Q99884011,2020-09-26,
member of the Sabah State Legislative Assembly,Assaffal P. Alian,Q99886294,2020-09-26,
member of the Sabah State Legislative Assembly,Dumi Pg. Masdal,Q99893630,2020-09-26,
member of the Sabah State Legislative Assembly,Norazlinah Arif,Q99895719,2020-09-26,
member of the Sabah State Legislative Assembly,Sarifuddin Hata,Q99898500,2020-09-26,
member of the Sabah State Legislative Assembly,Jaujan Sambakong,Q99918598,2020-09-26,
member of the Sabah State Legislative Assembly,Suhaimi Nasir,Q100366478,2020-10-08,
member of the Sabah State Legislative Assembly,Amisah Yassin,Q110119743,2020-10-08,
member of the Sabah State Legislative Assembly,Jaffari Waliam,Q110129954,2020-10-08,
member of the Sabah State Legislative Assembly,Yong Teck Lee,Q2542272,2020-10-08,
member of the Sabah State Legislative Assembly,Aliakbar Gulasan,Q25486263,2020-10-08,
member of the Sabah State Legislative Assembly,Raime Unggi,Q7284365,2020-10-08,
member of the Johor State Legislative Assembly,Gapar Gurrohu,Q108611696,2004,2008
member of the Johor State Legislative Assembly,Sheikh Ibrahim bin Salleh,Q15939073,2008,2018
member of the Johor State Legislative Assembly,Mohd Azahar Ibrahim,Q111025023,2011-01-30,2018-04-07
member of the Johor State Legislative Assembly,Suhaimi Salleh,Q111026073,2013,2018
member of the Johor State Legislative Assembly,Abdullah Husin,Q25485909,2013,2018
member of the Johor State Legislative Assembly,Nor Hayati Bachok,Q110134843,2018-06-28,2022-01-22
member of the Johor State Legislative Assembly,Najib Lep,Q65220052,2018-06-28,2022-01-22
member of the Johor State Legislative Assembly,Abdul Aziz Talib,Q111123362,2022,
member of the Kedah State Legislative Assembly,Abdul Ghani Ahmad,Q4665340,1999,2004
member of the Kedah State Legislative Assembly,Abdul Ghani Ahmad,Q4665340,2008,2013
member of the Kedah State Legislative Assembly,Abd Nasir Idris,Q65219697,2018,
member of the Kedah State Legislative Assembly,Ahmad Fadzli Hashim,Q65219710,2018,
member of the Kelantan State Legislative Assembly,Mat Yusof Mat Sah,Q111030198,1990,2004
member of the Kelantan State Legislative Assembly,Abdullah Yaakob,Q97203181,1995,2004
member of the Kelantan State Legislative Assembly,Abdul Halim Abdul Rahman,Q4665384,1995-04,2004-03
member of the Kelantan State Legislative Assembly,Buni Amin Hamzah,Q110134700,1999,2008
member of the Kelantan State Legislative Assembly,Shaary Awang,Q111030022,1999,2004
member of the Kelantan State Legislative Assembly,Hanafi Daud,Q111515112,1999,2004
member of the Kelantan State Legislative Assembly,Wan Ismail Wan Jusoh,Q20465839,1999,2004
member of the Kelantan State Legislative Assembly,Ahmad Baihaki Atiqullah,Q25485932,1999,2013
member of the Kelantan State Legislative Assembly,Ilias Husain,Q111029996,2004,2008
member of the Kelantan State Legislative Assembly,Abdul Halim Abdul Rahman,Q111515121,2004,2008
member of the Kelantan State Legislative Assembly,Abdul Fatah Mahmood,Q12681883,2004,
member of the Kelantan State Legislative Assembly,Mohamad Zaki Ibrahim,Q12698019,2004,2018
member of the Kelantan State Legislative Assembly,Abdul Fatah Haron,Q110119185,2008,2013
member of the Kelantan State Legislative Assembly,Abdul Halim Abdul Rahman,Q111515121,2008,2013
member of the Kelantan State Legislative Assembly,Wan Ismail Wan Jusoh,Q20465839,2008,2013
member of the Kelantan State Legislative Assembly,Abdul Azziz Kadir,Q25486352,2008,
member of the Kelantan State Legislative Assembly,Abdul Latiff Abdul Rahman,Q7302842,2008,2018
member of the Kelantan State Legislative Assembly,Abdullah Yaakob,Q97203181,2008,2013
member of the Kelantan State Legislative Assembly,Abdul Halim Abdul Rahman,Q111515121,2013,2018
member of the Kelantan State Legislative Assembly,Abdul Rasul Mohamed,Q25486337,2013,2018
member of the Kelantan State Legislative Assembly,Abd Rahman Yunus,Q25486341,2013,
member of the Kelantan State Legislative Assembly,Ahmad Fathan Mahmood,Q25486318,2015-03-22,
member of the Kelantan State Legislative Assembly,Abdul Rasul Mohamed,Q25486337,2018,
member of the Kelantan State Legislative Assembly,Zuraidin Abdullah,Q65220303,2018,
member of the Kelantan State Legislative Assembly,Hanifa Ahmad,Q12687484,2018-05-09,
member of the Kelantan State Legislative Assembly,Mohd Adanan Hassan,Q65220001,2018-05-09,
member of the Kelantan State Legislative Assembly,Izani Husin,Q96694599,2018-05-09,
member of the Kelantan State Legislative Assembly,Mohd. Nassuruddin Daud,Q96777561,2018-05-09,
member of the Perlis State Legislative Assembly,Ahmad Ali,Q65219705,1999,2004
member of the Perlis State Legislative Assembly,Mohd. Shukri Ramli,Q25485918,2013,
Member of the Terengganu State Legislative Assembly,Abdul Hadi Awang,Q2495157,1986,2018
Member of the Terengganu State Legislative Assembly,Abu Bakar Abdullah,Q111034114,1995,2004
Member of the Terengganu State Legislative Assembly,Abu Bakar Chik,Q12681972,1999,2004
Member of the Terengganu State Legislative Assembly,Wan Abdul Hakim Wan Mokhtar,Q111026260,2013,2018
Member of the Terengganu State Legislative Assembly,Saiful Bahari Mamat,Q25485927,2013,
Member of the Terengganu State Legislative Assembly,Ab Razak Ibrahim,Q96631659,2018,
Member of the Terengganu State Legislative Assembly,Ahmad Samsuri Mokhtar,Q53870603,2018-05-08,
Member of the Dewan Rakyat,Hassan Mansor,Q12687590,1959,
Member of the Dewan Rakyat,Hassan Mansor,Q12687591,1959,
Member of the Dewan Rakyat,Abdul Hadi Awang,Q2495157,1990,2004
Member of the Dewan Rakyat,Tan Yee Kew,Q54972218,1995-06-07,2008-02-13
Member of the Dewan Rakyat,Alwi Jusoh,Q107340535,1999,2004
Member of the Dewan Rakyat,Abdul Fatah Haron,Q110119185,1999,2008
Member of the Dewan Rakyat,Shahnon Ahmad,Q4521287,1999,2004
Member of the Dewan Rakyat,Hasan Mohamed Ali,Q73142,1999,2004
Member of the Dewan Rakyat,Taib Azamudden Md Taib,Q7675880,1999,2004
Member of the Dewan Rakyat,Liow Tiong Lai,Q1049213,1999-11-29,2018-05-09
Member of the Dewan Rakyat,Mohamad Aziz,Q12697930,1999-11-29,2013-05-05
Member of the Dewan Rakyat,Azalina Othman Said,Q4832158,2004,
Member of the Dewan Rakyat,Wan Azmi Ariffin,Q7458721,2004,2008
Member of the Dewan Rakyat,Abdul Aziz Shamsuddin,Q4665287,2004-03-21,2008-03-08
Member of the Dewan Rakyat,Abdul Halim Abdul Rahman,Q4665384,2004-03-21,2013-05-05
Member of the Dewan Rakyat,Ismail Sabri Yaakob,Q6084858,2004-03-21,
Member of the Dewan Rakyat,Mohd Radzi Sheikh Ahmad,Q6894027,2004-03-21,2008-03-08
Member of the Dewan Rakyat,K. S. Nijhar,Q6323953,2004-05-17,2008-02-13
Member of the Dewan Rakyat,Abdul Hadi Awang,Q2495157,2008,
Member of the Dewan Rakyat,Abdul Hadi Awang,Q2495157,2008,2013-04-03
Member of the Dewan Rakyat,Abdul Hadi Awang,Q2495157,2008,2018-04-07
Member of the Dewan Rakyat,Taib Azamudden Md Taib,Q7675880,2008,2013
Member of the Dewan Rakyat,Abdul Khalid Ibrahim,Q4665485,2008-03-08,2018-05-09
Member of the Dewan Rakyat,Ibrahim Ali,Q5984464,2008-03-08,2013-05-05
Member of the Dewan Rakyat,Mohd Radzi Sheikh Ahmad,Q6894027,2008-03-08,2013-05-05
Member of the Dewan Rakyat,Ahmad Baihaki Atiqullah,Q25485932,2013,2018
Member of the Dewan Rakyat,Ahmad Marzuk Shaary,Q25485933,2013,2018
Member of the Dewan Rakyat,Fauzi Abdul Rahman,Q20457974,2013-05-05,2018-05-09
Member of the Dewan Rakyat,Ignatius Dorell Leiking,Q53906556,2013-05-05,2018-04-07
Member of the Dewan Rakyat,Aziz Kaprawi,Q7132782,2013-05-05,2018-05-10
Member of the Dewan Rakyat,Shaharuddin Ismail,Q17055824,2013-05-06,2018-05-09
Member of the Dewan Rakyat,Izani Husin,Q96694599,2013-05-06,2018-05-08
Member of the Dewan Rakyat,Wan Mohammad Khair-il Anuar Wan Ahmad,Q15994813,2013-06-24,2016-05-05
Member of the Dewan Rakyat,Anwar Ibrahim,Q299574,2013-06-24,2015-06-16
Member of the Dewan Rakyat,Takiyuddin Hassan,Q12710292,2018,
Member of the Dewan Rakyat,Tuan Ibrahim Tuan Man,Q12711862,2018,
Member of the Dewan Rakyat,Nik Muhammad Zawawi Salleh,Q25485508,2018,
Member of the Dewan Rakyat,Wan Hassan Mohd Ramli,Q25485540,2018,
Member of the Dewan Rakyat,Ahmad Marzuk Shaary,Q25485933,2018,
Member of the Dewan Rakyat,Syed Saddiq Abdul Rahman,Q39050368,2018,
Member of the Dewan Rakyat,Ahmad Fadhli Shaari,Q55847739,2018,
Member of the Dewan Rakyat,Sabri Azit,Q61116790,2018,
Member of the Dewan Rakyat,Ahmad Amzad Hashim,Q65219707,2018,
Member of the Dewan Rakyat,Ahmad Tarmizi Sulaiman,Q65219711,2018,
Member of the Dewan Rakyat,Awang Hashim,Q65219748,2018,
Member of the Dewan Rakyat,Shaharizukirnain Abdul Kadir,Q65220205,2018,
Member of the Dewan Rakyat,Abdul Latiff Abdul Rahman,Q7302842,2018,
Member of the Dewan Rakyat,Nik Mohamad Abduh Nik Abdul Aziz,Q20457753,2018-04-17,
Member of the Dewan Rakyat,Choong Shiau Yoon,Q55080957,2018-05-09,
Member of the Dewan Rakyat,Noor Amin Ahmad,Q55847671,2018-05-09,
Member of the Dewan Rakyat,Jugah Muyang,Q55847765,2018-05-09,
Member of the Dewan Rakyat,Lee Boon Chye,Q10728896,2018-05-10,
Member of the Dewan Rakyat,Ismail Muttalib,Q10887151,2018-05-10,
Member of the Dewan Rakyat,Ismail Mohamed Said,Q10887152,2018-05-10,
Member of the Dewan Rakyat,Kesavan a/l Subramaniam,Q10890963,2018-05-10,
Member of the Dewan Rakyat,Lim Lip Eng,Q10904961,2018-05-10,
Member of the Dewan Rakyat,Chan Ming Kai,Q11091526,2018-05-10,
Member of the Dewan Rakyat,Prabakaran Parameswaran,Q111032913,2018-05-10,
Member of the Dewan Rakyat,Wong Kah Woh,Q11177339,2018-05-10,
Member of the Dewan Rakyat,Loke Siew Fook,Q11879080,2018-05-10,
Member of the Dewan Rakyat,Abdul Azeez Abdul Rahim,Q12681878,2018-05-10,
Member of the Dewan Rakyat,Cha Kee Chin,Q12684952,2018-05-10,
Member of the Dewan Rakyat,Idris Jusoh,Q12688054,2018-05-10,
Member of the Dewan Rakyat,Maria Chin Abdullah,Q12696915,2018-05-10,
Member of the Dewan Rakyat,Su Keong Siong,Q12709711,2018-05-10,
Member of the Dewan Rakyat,Khairy Jamaluddin,Q1449940,2018-05-10,
Member of the Dewan Rakyat,Yeo Bee Yin,Q15401713,2018-05-10,
Member of the Dewan Rakyat,Chang Lih Kang,Q15942029,2018-05-10,
Member of the Dewan Rakyat,Azizah Mohd Dun,Q16193557,2018-05-10,
Member of the Dewan Rakyat,Shamsul Iskandar Md. Akin,Q16466870,2018-05-10,
Member of the Dewan Rakyat,Ramkarpal Singh,Q16867453,2018-05-10,
Member of the Dewan Rakyat,Rubiah Wang,Q17055379,2018-05-10,
Member of the Dewan Rakyat,Zahidi Zainul Abidin,Q17058802,2018-05-10,
Member of the Dewan Rakyat,Mahathir Mohamad,Q181383,2018-05-10,
Member of the Dewan Rakyat,Azman Ismail,Q18684386,2018-05-10,
Member of the Dewan Rakyat,Kasthuriraani Patto,Q19646170,2018-05-10,
Member of the Dewan Rakyat,Reezal Merican Naina Merican,Q19646358,2018-05-10,
Member of the Dewan Rakyat,Wong Chen,Q19841039,2018-05-10,
Member of the Dewan Rakyat,Hasan Arifin,Q20448187,2018-05-10,
Member of the Dewan Rakyat,Mohamed Hanipa Maidin,Q20451479,2018-05-10,
Member of the Dewan Rakyat,Rosol Wahid,Q20451558,2018-05-10,
Member of the Dewan Rakyat,Mohd Anuar Mohd Tahir,Q20451653,2018-05-10,
Member of the Dewan Rakyat,Mohd Rashid Hasnon,Q20451988,2018-05-10,
Member of the Dewan Rakyat,Khoo Poay Tiong,Q20465849,2018-05-10,
Member of the Dewan Rakyat,Mas Ermieyati Samsudin,Q20652600,2018-05-10,
Member of the Dewan Rakyat,Alice Lau Kiong Yieng,Q23879789,2018-05-10,
Member of the Dewan Rakyat,Wilfred Madius Tangau,Q24004301,2018-05-10,
Member of the Dewan Rakyat,Che Abdullah Mat Nawi,Q25486307,2018-05-10,
Member of the Dewan Rakyat,Michael Teo Yu Keng,Q26703607,2018-05-10,
Member of the Dewan Rakyat,Saravanan Murugan,Q3521234,2018-05-10,
Member of the Dewan Rakyat,M. Kulasegaran,Q3524040,2018-05-10,
Member of the Dewan Rakyat,Oscar Ling Chai Yew,Q38460478,2018-05-10,
Member of the Dewan Rakyat,Christina Liew,Q38460535,2018-05-10,
Member of the Dewan Rakyat,Ahmad Faizal Azumu,Q38460552,2018-05-10,
Member of the Dewan Rakyat,Wong Tien Fatt,Q38668450,2018-05-10,2019-03-28
Member of the Dewan Rakyat,Wong Ling Biu,Q38668457,2018-05-10,
Member of the Dewan Rakyat,Aaron Ago Dagang,Q4661807,2018-05-10,
Member of the Dewan Rakyat,Abdul Latiff Ahmad,Q4665513,2018-05-10,
Member of the Dewan Rakyat,Abdul Rahim Bakri,Q4665619,2018-05-10,
Member of the Dewan Rakyat,Abdullah Sani Abdul Hamid,Q4666065,2018-05-10,
Member of the Dewan Rakyat,Wan Azizah Wan Ismail,Q468579,2018-05-10,
Member of the Dewan Rakyat,Ahmad Hamzah,Q4695326,2018-05-10,
Member of the Dewan Rakyat,Ahmad Maslan,Q4695413,2018-05-10,
Member of the Dewan Rakyat,Ahmad Zahid Hamidi,Q4695503,2018-05-10,
Member of the Dewan Rakyat,Alexander Nanta Linggi,Q4719738,2018-05-10,
Member of the Dewan Rakyat,Shahruddin bin Md. Salleh,Q47544871,2018-05-10,
Member of the Dewan Rakyat,Anifah Aman,Q4764583,2018-05-10,
Member of the Dewan Rakyat,Annuar Musa,Q4769706,2018-05-10,
Member of the Dewan Rakyat,Baru Bian,Q4865829,2018-05-10,
Member of the Dewan Rakyat,Bung Moktar Radin,Q4997592,2018-05-10,
Member of the Dewan Rakyat,Charles Santiago,Q5082352,2018-05-10,
Member of the Dewan Rakyat,Chong Chieng Jen,Q5104594,2018-05-10,
Member of the Dewan Rakyat,Chow Kon Yeow,Q5105511,2018-05-10,
Member of the Dewan Rakyat,Sivarraajh Chandran,Q52779406,2018-05-10,
Member of the Dewan Rakyat,Dzulkefly Ahmad,Q5320031,2018-05-10,
Member of the Dewan Rakyat,Maszlee Malik,Q53761570,2018-05-10,
Member of the Dewan Rakyat,Ignatius Dorell Leiking,Q53906556,2018-05-10,
Member of the Dewan Rakyat,Chan Foong Hin,Q53996501,2018-05-10,
Member of the Dewan Rakyat,Rina Harun,Q54005229,2018-05-10,
Member of the Dewan Rakyat,Noorita Sual,Q54064968,2018-05-10,
Member of the Dewan Rakyat,Arthur Joseph Kurup,Q54152879,2018-05-10,
Member of the Dewan Rakyat,Ahmad Hassan,Q54196059,2018-05-10,
Member of the Dewan Rakyat,Mohammadin Keretapi,Q54196272,2018-05-10,
Member of the Dewan Rakyat,Jonathan Yasin,Q54196766,2018-05-10,
Member of the Dewan Rakyat,Fadillah Yusof,Q5429257,2018-05-10,
Member of the Dewan Rakyat,Awang Husaini Sahari,Q54353169,2018-05-10,
Member of the Dewan Rakyat,Isnaraissah Munirah Majilis,Q54356755,2018-05-10,
Member of the Dewan Rakyat,Ma'mun Sulaiman,Q54614094,2018-05-10,
Member of the Dewan Rakyat,Azis Jamman,Q54614107,2018-05-10,
Member of the Dewan Rakyat,Zakaria Edris,Q54614122,2018-05-10,
Member of the Dewan Rakyat,Yamani Hafez Musa,Q54614138,2018-05-10,
Member of the Dewan Rakyat,Fong Kui Lun,Q5465028,2018-05-10,
Member of the Dewan Rakyat,Tan Yee Kew,Q54972218,2018-05-10,
Member of the Dewan Rakyat,Edmund Santhara,Q55092377,2018-05-10,
Member of the Dewan Rakyat,Fuziah Salleh,Q5511027,2018-05-10,
Member of the Dewan Rakyat,Hasanuddin Mohd Yunus,Q55386659,2018-05-10,
Member of the Dewan Rakyat,Muhammad Bakhtiar Wan Chik,Q55584831,2018-05-10,
Member of the Dewan Rakyat,Eddin Syazlee Shith,Q55584836,2018-05-10,
Member of the Dewan Rakyat,Fahmi Fadzil,Q55611406,2018-05-10,
Member of the Dewan Rakyat,Tengku Zulpuri Shah Raja Puji,Q55642228,2018-05-10,
Member of the Dewan Rakyat,Gobind Singh Deo,Q5575520,2018-05-10,
Member of the Dewan Rakyat,Mohd. Redzuan Md. Yusof,Q55760030,2018-05-10,
Member of the Dewan Rakyat,Awang Solahudin Hashim,Q55846728,2018-05-10,
Member of the Dewan Rakyat,Ahmad Tarmizi Sulaiman,Q55846743,2018-05-10,
Member of the Dewan Rakyat,Nor Azrina Surip,Q55846750,2018-05-10,
Member of the Dewan Rakyat,Karupaiya Mutusami,Q55846778,2018-05-10,
Member of the Dewan Rakyat,Ikmal Hisham Abdul Aziz,Q55846946,2018-05-10,
Member of the Dewan Rakyat,Ahmad Jazlan Yaakub,Q55846956,2018-05-10,
Member of the Dewan Rakyat,Mohd. Khairuddin Aman Razali,Q55847008,2018-05-10,
Member of the Dewan Rakyat,Wan Hassan Mohd. Ramli,Q55847048,2018-05-10,
Member of the Dewan Rakyat,Che Alias Hamid,Q55847056,2018-05-10,
Member of the Dewan Rakyat,Noor Azmi Ghazali,Q55847191,2018-05-10,
Member of the Dewan Rakyat,Syed Abu Hussin Hafiz Syed Abdul Fasal,Q55847197,2018-05-10,
Member of the Dewan Rakyat,Teh Kok Lim,Q55847205,2018-05-10,
Member of the Dewan Rakyat,Mastura Mohd. Yazid,Q55847334,2018-05-10,
Member of the Dewan Rakyat,Ahmad Nazlan Idris,Q55847344,2018-05-10,
Member of the Dewan Rakyat,Wong Tack,Q55847351,2018-05-10,
Member of the Dewan Rakyat,Mohd Fasiah Mohd Fakeh,Q55847358,2018-05-10,
Member of the Dewan Rakyat,Muslimin Yahya,Q55847363,2018-05-10,
Member of the Dewan Rakyat,June Leow Hsiad Hui,Q55847368,2018-05-10,
Member of the Dewan Rakyat,Jalaluddin Alias,Q55847483,2018-05-10,
Member of the Dewan Rakyat,Mohd. Salim Shariff,Q55847488,2018-05-10,
Member of the Dewan Rakyat,Danyal Balagopal Abdullah,Q55847511,2018-05-10,
Member of the Dewan Rakyat,Hasan Baharom,Q55847523,2018-05-10,
Member of the Dewan Rakyat,Rusnah Aluai,Q55847543,2018-05-10,
Member of the Dewan Rakyat,Natrah Ismail,Q55847562,2018-05-10,
Member of the Dewan Rakyat,Pang Hok Liang,Q55847567,2018-05-10,
Member of the Dewan Rakyat,Syed Ibrahim Syed Noh,Q55847576,2018-05-10,
Member of the Dewan Rakyat,Wong Shu Qi,Q55847599,2018-05-10,
Member of the Dewan Rakyat,Adham Baba,Q55847609,2018-05-10,
Member of the Dewan Rakyat,Steven Choong Shiau Yoon,Q55847617,2018-05-10,
Member of the Dewan Rakyat,Hassan Abdul Karim,Q55847624,2018-05-10,
Member of the Dewan Rakyat,Ahmad Akmal Nasrullah Mohd. Nasir,Q55847629,2018-05-10,
Member of the Dewan Rakyat,Mohamed Farid Md. Rafik,Q55847645,2018-05-10,
Member of the Dewan Rakyat,Rozman Isli,Q55847650,2018-05-10,
Member of the Dewan Rakyat,Mohd. Shahar Abdullah,Q55847666,2018-05-10,
Member of the Dewan Rakyat,Mordi Bimol,Q55847678,2018-05-10,
Member of the Dewan Rakyat,Ali Biju,Q55847682,2018-05-10,
Member of the Dewan Rakyat,Ahmad Johnie Zawasi,Q55847689,2018-05-10,
Member of the Dewan Rakyat,Kelvin Yii Lee Wuen,Q55847698,2018-05-10,
Member of the Dewan Rakyat,Yusuf Abd. Wahab,Q55847702,2018-05-10,
Member of the Dewan Rakyat,Hanifah Hajar Taib,Q55847705,2018-05-10,
Member of the Dewan Rakyat,Larry Sng Wei Shien,Q55847724,2018-05-10,
Member of the Dewan Rakyat,Lukanisman Awang Sauni,Q55847750,2018-05-10,
Member of the Dewan Rakyat,Anyi Ngau,Q55847764,2018-05-10,
Member of the Dewan Rakyat,Willie Mongin,Q55847768,2018-05-10,
Member of the Dewan Rakyat,Wilson Ugak Kumbong,Q55847774,2018-05-10,
Member of the Dewan Rakyat,Shaharizukirnain Abd. Kadir,Q55847790,2018-05-10,
Member of the Dewan Rakyat,Halimah Mohd Sadique,Q5642346,2018-05-10,
Member of the Dewan Rakyat,Hamzah Zainuddin,Q5646531,2018-05-10,
Member of the Dewan Rakyat,Hannah Yeoh,Q5649002,2018-05-10,
Member of the Dewan Rakyat,Hasbi Habibollah,Q5678682,2018-05-10,
Member of the Dewan Rakyat,Henry Sum Agong,Q5728886,2018-05-10,
Member of the Dewan Rakyat,Najib Razak,Q57675,2018-05-10,
Member of the Dewan Rakyat,Hishammuddin Hussein,Q5772615,2018-05-10,
Member of the Dewan Rakyat,Robert Lawson Chuat Vincent Entering,Q59656108,2018-05-10,
Member of the Dewan Rakyat,Pang Hok Liong,Q60311688,2018-05-10,
Member of the Dewan Rakyat,Xavier Jayakumar A/L Arulanandam,Q6067517,2018-05-10,
Member of the Dewan Rakyat,Mustapa Mohamed,Q6155600,2018-05-10,
Member of the Dewan Rakyat,Jeffrey Kitingan,Q6176100,2018-05-10,
Member of the Dewan Rakyat,Johari Abdul,Q6217260,2018-05-10,
Member of the Dewan Rakyat,Kamaruddin Jaafar,Q6356078,2018-05-10,
Member of the Dewan Rakyat,Khalid Abdul Samad,Q6399454,2018-05-10,
Member of the Dewan Rakyat,Liew Vui Keong,Q6544494,2018-05-10,2020-10-02
Member of the Dewan Rakyat,Wong Hon Wai,Q6650878,2018-05-10,
Member of the Dewan Rakyat,Maximus Ongkili,Q6653321,2018-05-10,
Member of the Dewan Rakyat,Amiruddin Hamzah,Q6672058,2018-05-10,
Member of the Dewan Rakyat,Mahdzir Khalid,Q6733710,2018-05-10,
Member of the Dewan Rakyat,Mahfuz Omar,Q6733935,2018-05-10,
Member of the Dewan Rakyat,Masir Kujat,Q6783296,2018-05-10,
Member of the Dewan Rakyat,Mansor Othman,Q6787389,2018-05-10,
Member of the Dewan Rakyat,Mohamad Sabu,Q6890904,2018-05-10,
Member of the Dewan Rakyat,Mohamed Nazri Abdul Aziz,Q6891417,2018-05-10,
