position,person,personID,start,end
"Minister of Domestic Trade, Co-operatives and Consumerism",Hamzah Zainuddin,Q5646531,2015-07-29,2018-05-09
"Minister of Domestic Trade, Co-operatives and Consumerism",Alexander Nanta Linggi,Q4719738,2021-08-30,
Minister of Education,Mustapa Mohamed,Q6155600,2006-02-14,2008-03-18
Minister of Education,Muhyiddin Yassin,Q1060949,2009-04-10,2015-07-28
Minister of Education,Mahdzir Khalid,Q6733710,2015-07-29,2018-05-09
Minister of Education,Mohd Radzi Md Jidin,Q61113768,2020-03-10,2021-08-16
Minister of Education,Mohd Radzi Md Jidin,Q61113768,2021-08-30,
"Minister of Energy, Green Technology and Water",Law Hieng Ding,Q42836537,1990-10-27,2004-03-26
Minister of Entrepreneur Development (Malaysia),Wan Junaidi Tuanku Jaafar,Q7967007,2020-03-10,2021-08-16
Minister of Entrepreneur Development (Malaysia),Noh Omar,Q7047541,2021-09-11,
Minister of Environment and Water,Tuan Ibrahim Tuan Man,Q12711862,2020-03-10,2021-08-16
Minister of Environment and Water,Tuan Ibrahim Tuan Man,Q12711862,2021-08-30,
Minister of Federal Territories,Shahidan Kassim,Q7461744,2021-08-30,
Minister of Finance,Daim Zainuddin,Q787441,1999-01-07,2001-05-31
Minister of Finance,Mahathir Mohamad,Q181383,2001-06-05,2003-11-02
Minister of Finance,Jamaluddin Jarjis,Q6127705,2002-11-20,2004-03-26
Minister of Finance,Abdullah Ahmad Badawi,Q272588,2003-11-03,2008-09-23
Minister of Finance,Nor Mohamed Yakcop,Q7050030,2004-03-27,2009-04-09
Minister of Finance,Najib Razak,Q57675,2008-09-23,2018-05-09
Minister of Finance,Ahmad Husni Hanadzlah,Q4695341,2009-04-10,2016-06-27
Minister of Finance,Johari Abdul Ghani,Q17708813,2016-06-27,2018-05-09
Minister of Finance,Mohamed Azmin Ali,Q73962,2018-05-21,2020-02-24
Minister of Finance,Zafrul Aziz,Q8064320,2020-03-10,2021-08-16
Minister of Finance,Zafrul Aziz,Q8064320,2021-08-30,
Minister of Foreign Affairs,Syed Hamid Albar,Q3176113,1999-01-09,2008-03-18
Minister of Foreign Affairs,Mohd Radzi Sheikh Ahmad,Q6894027,2006-02-14,2008-03-18
Minister of Foreign Affairs,Rais Yatim,Q2380853,2008-03-19,2009-04-08
Minister of Foreign Affairs,Anifah Aman,Q4764583,2009-04-09,2018-05-10
Minister of Foreign Affairs,Saifuddin Abdullah,Q7400032,2018-07-02,2020-02-24
Minister of Foreign Affairs,Hishammuddin Hussein,Q5772615,2020-03-10,2021-08-16
Minister of Foreign Affairs,Saifuddin Abdullah,Q7400032,2021-08-30,
Minister of Health,Chua Jui Meng,Q5115192,1995,2004
Minister of Health,Chua Soi Lek,Q911132,2004,2007
Minister of Health,Liow Tiong Lai,Q1049213,2008-03-18,2013-05-05
Minister of Health,Subramaniam Sathasivam,Q10045531,2013-05-16,2018-05-09
Minister of Health,Dzulkefly Ahmad,Q5320031,2018-05-21,2020-02-24
Minister of Health,Adham Baba,Q55847609,2020-03-10,2021-08-16
Minister of Health,Khairy Jamaluddin,Q1449940,2021-08-30,
Minister of Higher Education,Hishammuddin Hussein,Q5772615,2004-03-27,2009-04-09
Minister of Higher Education,Noraini Ahmad,Q7050236,2021-08-30,
Minister of Home Affairs,Hishammuddin Hussein,Q5772615,2009-04-10,2013-05-15
Minister of Home Affairs,Ahmad Zahid Hamidi,Q4695503,2013-05-16,2018-05-09
Minister of Home Affairs,Hamzah Zainuddin,Q5646531,2020-03-10,2021-08-16
Minister of Home Affairs,Hamzah Zainuddin,Q5646531,2021-08-30,
Minister of Human Resources,Saravanan Murugan,Q3521234,2021-08-30,
Minister of International Trade and Industry,Muhyiddin Yassin,Q1060949,2008-03-19,2009-04-09
Minister of International Trade and Industry,Mustapa Mohamed,Q6155600,2009-04-10,2018-05-09
Minister of International Trade and Industry,Ignatius Dorell Leiking,Q53906556,2018-07-02,2020-02-24
Minister of International Trade and Industry,Mohamed Azmin Ali,Q73962,2020-03-10,2021-08-16
Minister of International Trade and Industry,Mohamed Azmin Ali,Q73962,2021-08-30,
Minister of National Unity,Halimah Mohd Sadique,Q5642346,2021-08-30,
Minister of Natural Resources and Environment,Wan Junaidi Tuanku Jaafar,Q7967007,2015-07-29,2018-05-09
Minister of Natural Resources and Environment,Takiyuddin Hassan,Q12710292,2021-08-30,
Minister of Plantation Industries and Commodities,Khairuddin Aman Razali,Q95947458,2020-03-10,2021-08-16
Minister of Plantation Industries and Commodities,Zuraida Kamarudin,Q8075369,2021-08-30,
Minister of Rural and Regional Development,Abdul Aziz Shamsuddin,Q4665287,2004-03-27,2008-03-18
Minister of Rural and Regional Development,Ismail Sabri Yaakob,Q6084858,2015-07-29,2018-05-09
Minister of Rural and Regional Development,Abdul Latiff Ahmad,Q4665513,2020-03-10,2021-08-16
Minister of Rural and Regional Development,Mahdzir Khalid,Q6733710,2021-08-30,
"Minister of Science, Technology and Innovation",Adham Baba,Q55847609,2021-08-30,
Minister of Tourism and Culture,Nancy Shukri,Q6962983,2021-08-30,
Minister of Transport,Hishammuddin Hussein,Q5772615,2013-05-16,2014-06-25
Minister of Transport,Liow Tiong Lai,Q1049213,2014-06-27,2018-05-10
Minister of Transport,Wee Ka Siong,Q7979293,2021-08-30,
"Minister of Urban Wellbeing, Housing and Local Government",Abdul Rahman Dahlan,Q4665636,2013,2016
"Minister of Urban Wellbeing, Housing and Local Government",Reezal Merican Naina Merican,Q19646358,2021-08-30,
"Minister of Women, Family and Community Development",Rina Harun,Q54005229,2021-08-30,
Minister of Works,Fadillah Yusof,Q5429257,2021-08-30,
Minister of Youth and Sports,Hishammuddin Hussein,Q5772615,1999-12-14,2004-03-26
Minister of Youth and Sports,Ismail Sabri Yaakob,Q6084858,2008-03-18,2009-04-09
Minister of Youth and Sports,Syed Saddiq Abdul Rahman,Q39050368,2018,2020
Minister of Youth and Sports,Ahmad Faizal Azumu,Q38460552,2021-08-30,
Minister in the Prime Minister's Department,Pandikar Amin Mulia,Q4343921,1999-12-15,2002-11-20
Minister in the Prime Minister's Department,Mustapa Mohamed,Q6155600,2004-03-27,2006-02-14
Minister in the Prime Minister's Department,Shahidan Kassim,Q7461744,2013-05-16,2018-05-09
Minister in the Prime Minister's Department,Takiyuddin Hassan,Q12710292,2020-03-10,2021-08-16
Minister in the Prime Minister's Department,Zulkifli Mohamad Al-Bakri,Q20467079,2020-03-10,2021-08-16
Minister in the Prime Minister's Department,Mohd. Redzuan Md. Yusof,Q55760030,2020-03-10,2021-08-16
Minister in the Prime Minister's Department,Mustapa Mohamed,Q6155600,2020-03-10,2021-08-16
Minister in the Prime Minister's Department,Maximus Ongkili,Q6653321,2020-03-10,
Minister in the Prime Minister's Department,Abdul Latiff Ahmad,Q4665513,2021-08-30,
Minister in the Prime Minister's Department,Mustapa Mohamed,Q6155600,2021-08-30,
Minister in the Prime Minister's Department,Wan Junaidi Tuanku Jaafar,Q7967007,2021-08-30,
Minister in the Prime Minister's Department (Religious Affairs),Idris Ahmad,Q20451202,2021-08-30,
Attorney General,Mohamed Apandi Ali,Q39879796,2015-07-27,2018-06-04
Attorney General,Tommy Thomas,Q55115166,2018-06-04,2020-02-28
Attorney General,Idrus Harun,Q87194317,2020-03-06,
Special Adviser to the Prime Minister,Jemilah Mahmood,Q4793970,2020-03-31,2021-08
Special Adviser to the Prime Minister,Ahmad Faizal Azumu,Q38460552,2021-08-05,2021-08-16
Special Adviser to the Prime Minister,Jamil Khir Baharom,Q6147742,2021-10,
Special Adviser to the Prime Minister,Azalina Othman Said,Q4832158,2021-10-02,2022-08-30
Speaker of the Dewan Rakyat,Mohamed Zahir Ismail,Q6891570,1982-06-14,2004-10-14
Speaker of the Dewan Rakyat,Ramli Ngah Talib,Q7289724,2004-11-22,2008-02-13
Speaker of the Dewan Rakyat,Pandikar Amin Mulia,Q4343921,2008-04-28,2018-05-10
Speaker of the Dewan Rakyat,Mohamad Ariff Md Yusof,Q55641125,2018-07-16,2020-07-13
Speaker of the Dewan Rakyat,Azhar Azizan Harun,Q85976933,2020-07-13,
President of the Dewan Negara,Rais Yatim,Q2380853,2020-09-02,
Governor of the Central Bank,Nor Shamsiah Mohd Yunus,Q56702497,2018-07-01,
Chief of Defence Forces,Affendi Buang,Q82716484,2020-01-02,
ambassador to Bosnia and Herzegovina,Zakri Jaafar,Q110788569,2017,2021
ambassador to the Czech Republic,Nadzirah Osman,Q110771913,2014,2017
ambassador to Jordan,Zakri Jaafar,Q110788569,2014,2017
ambassador to the Netherlands,Nadzirah Osman,Q110771913,2021-07-20,
Yang di-Pertua Negeri of Sarawak,Ahmad Zaidi Adruce,Q4695501,1985-04-02,2000-12-05
Yang di-Pertua Negeri of Sarawak,Abang Muhammad Salahuddin,Q4663399,2001-02-22,2014-02-28
Yang di-Pertua Negeri of Sarawak,Abdul Taib Mahmud,Q1015710,2014-03-01,
Premier of Sarawak,Abdul Taib Mahmud,Q1015710,1981-03-26,2014-02-28
Premier of Sarawak,Adenan Satem,Q12682034,2014-02-28,2017-01-11
Premier of Sarawak,Abang Abdul Rahman Johari Abang Openg,Q7325474,2017-01-13,
Deputy Premier of Sarawak,James Jemut Masing,Q25471649,2016-05-13,2021-10-31
Deputy Premier of Sarawak,Douglas Uggah Embas,Q5302048,2016-05-13,
Deputy Premier of Sarawak,Awang Tengah Ali Hasan,Q31186225,2017-05-06,
Deputy Premier of Sarawak,Sim Kui Hian,Q20463288,2022-01-04,
Menteri Besar of Kelantan,Ahmad Yaakob,Q12857568,2013-05-06,
Menteri Besar of Kedah,Syed Razak Bin Syed Zain Barakhbah,Q20452129,1999-12-11,2005-12
Menteri Besar of Kedah,Mahdzir Khalid,Q6733710,2005-12-29,2008-03-09
Menteri Besar of Terengganu,Abdul Hadi Awang,Q2495157,1999-11-30,2004-03-21
Menteri Besar of Terengganu,Ahmad Samsuri Mokhtar,Q53870603,2018-05-10,
Menteri Besar of Selangor,Abdul Khalid Ibrahim,Q4665485,2008-03-13,2014-09-22
Menteri Besar of Selangor,Mohamed Azmin Ali,Q73962,2014-09-23,2018-06-19
Menteri Besar of Selangor,Amirudin Shari,Q18684048,2018-06-19,
